range,content,summary,similarity
"[8581, 8582]","""The way to control and direct a Mentat, Nefud, is through his information. False information--false results.""","Systems and methods for controlling and directing a Mentat, Nefud",0.63827515
"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]","She trembled so hard the knife blade sent glittering shards of reflection shooting around the room. Jessica waited, poised. She had intended to say the knife was a maker of death and then add the ancient word, but every sense warned her now, all the deep training of alertness that exposed meaning in the most casual muscle twitch. The key word was . . . maker. Maker? Maker. Still, Mapes held the knife as though ready to use it. Jessica said: ""Did you think that I, knowing the mysteries of the Great Mother, would not know the Maker?"" Mapes lowered the knife.",Knife of the Great Mother,0.63592494
"[17843, 17844, 17845, 17846, 17847, 17848, 17849]","""Men, finding no answers to the sunnan [the ten thousand religious questions from the Shari-ah] now apply their own reasoning. All men seek to be enlightened. Religion is but the most ancient and honorable way in which men have striven to make sense out of God's universe. Scientists seek the lawfulness of events. It is the task of Religion to fit man into this lawfulness."" In their conclusion, though, the Commentaries set a harsh tone that very likely foretold their fate. ""Much that was called religion has carried an unconscious attitude of hostility toward life.",Religion and science: a new paradigm for the 21st century based on the teachings of the Prophet Muhammad (570-632 C.E.) and the Quran (610,0.62878764
"[12791, 12792, 12793, 12794, 12795, 12796, 12797, 12798]","What is it? Jessica asked, herself. Liquor? A drug? She bent over the spout, smelled the esters of cinnamon, remembering then the drunkenness of Duncan Idaho. Spice liquor? she asked herself. She took the siphon tube in her mouth, pulled up only the most minuscule sip.",Spice liquor,0.62777793
"[2593, 2594, 2595, 2596, 2597, 2598, 2599]","-from ""Muad'Dib: Family Commentaries"" by the Princess Irulan At the end of the south wing, Jessica found a metal stair spiraling up to an oval door. She glanced back down the hall, again up at the door. Oval? she wondered. What an odd shape for a door in a house. Through the windows beneath the spiral stair she could see the great white sun of Arrakis moving on toward evening. Long shadows stabbed down the hall.",Doorway with oval door and spiral staircase,0.62458086
"[17964, 17965, 17966, 17967, 17968, 17969]","5. When the Arrakis Affair boiled up, the Spacing Guild made overtures to the Bene Gesserit. The Guild hinted that its navigators, who use the spice drug of Arrakis to produce the limited prescience necessary for guiding spaceships through the void, were ""bothered about the future"" or saw ""problems on the horizon."" This could only mean they saw a nexus, a meeting place of countless delicate decisions, beyond which the path was hidden from the prescient eye. This was a clear indication that some agency was interfering with higher order dimensions! (A few of the Bene Gesserit had long been aware that the Guild could not interfere directly with the vital spice source because Guild navigators already were dealing in their own inept way with higher order dimensions, at least to the point where they recognized that the slightest misstep they made on Arrakis could be catastrophic.","The present invention relates to methods and systems for detecting interference with higher order dimensions by the Spacing Guild and the Bene Gesserit of Frank Herbert's Dune universe. In particular, the present invention relates",0.6145222
"[5303, 5304, 5305, 5306, 5307, 5308]","The missing carryall has been found. A Harkonnen agent in the crew overpowered the others and flew the machine to a smugglers' base, hoping to sell it there. Both man and machine were turned over to our forces."" She nodded to Tuek. The smuggler nodded back. Jessica refolded the note, tucked it into her sleeve.",Missing carryall has been found,0.6113281
"[5178, 5179, 5180]","Another fisherman helping recover the body said he'd seen marks like this man's wounds several times. They meant another drowning fisherman had tried to stand on this poor fellow's shoulders in the attempt to reach up to the surface--to reach air."" ""Why is this interesting?"" the banker asked.",Method and apparatus for retrieving a drowning fisherman from the bottom of a body of water,0.6013092
"[4554, 4555, 4556]",The big machine began to tip down to the right. A gigantic sand whirlpool began forming there to the right of the crawler. It moved faster and faster.,Sand whirlpool,0.59313923
"[6885, 6886, 6887, 6888, 6889]","How? Well, no matter now, the Baron thought, his mind firming. The next guard captain will begin by finding answers to these questions. He grew aware of more activity down the hall--around the corner at the other door to that room of death. The Baron pushed himself away from his own door, studied the lackeys around him.",The Baron's Own Door (The Baron's Own Door Book 1),0.5850165
"[12539, 12540, 12541, 12542]","The surface condenses moisture out of the air. That moisture trickles down to keep our plants alive."" ""Dew collectors,"" he muttered, enchanted by the simple beauty of such a scheme. ""I'll mourn Jamis in the proper time for it,"" she said, as though her mind had not left his other question.",Systems and methods for harvesting moisture from the atmosphere,0.5825532
"[227, 228]","If his mother stood guard out there . . . if this were truly a test . . . And whatever it was, he knew himself caught in it, trapped by that hand at his neck: the gom jabbar. He recalled the response from the Litany against Fear as his mother had taught him out of the Bene Gesserit rite.",Systems and methods for detecting gom jabbar and the litany against fear,0.58220637
"[7815, 7816, 7817]","Who could have guessed they'd use artillery in this day of shields? ""You refer to the artillery they used to trap our people in the caves,"" he said. ""I've . . . theoretical knowledge of such explosive weapons.""",Method and apparatus for using artillery in a fantasy role-playing game,0.5717123
"[12173, 12174, 12175]","Feyd-Rautha grinned, offered now the long blade, the one with the poison. ""Try this one,"" he said, and feinted with the short blade in his other hand. The slave shifted knife hands, turned inside both parry and feint to grapple the na-Baron's short blade--the one in the white gloved hand that tradition said should carry the poison.",Long blade of Feyd-Rautha,0.5693485
"[8650, 8651, 8652, 8653, 8654, 8655, 8656, 8657, 8658, 8659]","And, Nefud, Hawat need never suspect. The antidote will not betray itself to a poison snooper. Hawat can scan his food as he pleases and detect no trace of poison."" Nefud's eyes opened wide with understanding. ""The absence of a thing,"" the Baron said, ""this can be as deadly as the presence. The absence of air, eh? The absence of water? The absence of anything else we're addicted to."" The Baron nodded. ""You understand me, Nefud?""",Anti-poison antidote,0.5627086
"[10892, 10893, 10894, 10895, 10896, 10897, 10898, 10899, 10900, 10901]","Jessica awakened in cave darkness, sensing the stir of Fremen around her, smelling the acrid stillsuit odor. Her inner timesense told her it would soon be night outside, but the cave remained in blackness, shielded from the desert by the plastic hoods that trapped their body moisture within this space. She realized that she had permitted herself the utterly relaxing sleep of great fatigue, and this suggested something of her own unconscious assessment on personal security within Stilgar's troop. She turned in the hammock that had been fashioned of her robe, slipped her feet to the rock floor and into her desert boots. I must remember to fasten the boots slip-fashion to help my stillsuit's pumping action, she thought. There are so many things to remember. She could still taste their morning meal--the morsel of bird flesh and grain bound within a leaf with spice honey--and it came to her that the use of time was turned around here: night was the day of activity and day was the time of rest. Night conceals; night is safest. She unhooked her robe from its hammock pegs in a rock alcove, fumbled with the fabric in the dark until she found the top, slipped into it. How to get a message out to the Bene Gesserit? she wondered.","Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for awakening jessica in the desert of Arrakis (Dune). In some implementations, a method includes presenting, to a user device",0.56065774
"[15722, 15723, 15724, 15725, 15726]","Quickly, now."" They sped down the passage, through another valve door, another passage and through hangings into what had been the Sayyadina's alcove in the days when this was an overday rest cave. Rugs and cushions now covered the floor. Woven hangings with the red figure of a hawk hid the rock walls. A low field desk at one side was strewn with papers from which lifted the aroma of their spice origin.",Sayyadina's alcove,0.5593071
"[2509, 2510, 2511]","The seeker lifted, swung sideways across the room and back. Through Paul's mind flashed the related knowledge, the hunter-seeker limitations: Its compressed suspensor field distorted the vision of its transmitter eye. With nothing but the dim light of the room to reflect his target, the operator would be relying on motion--anything that moved.",Apparatus and method for detecting a hunter-seeker,0.5518862
"[8006, 8007, 8008, 8009, 8010, 8011, 8012, 8013, 8014]","The captured 'thopter took off with a lurching flap of wings, angled upward to the south in a steep, wing-tucked climb. So these Fremen can handle 'thopters, too, Hawat thought. On the distant dune, a Fremen waved a square of green cloth: once . . . twice. ""More come!"" the Fremen beside Hawat barked. ""Be ready. I'd hoped to have us away without more inconvenience."" Inconvenience! Hawat thought. He saw two more 'thopters swooping from high in the west onto an area of sand suddenly devoid of visible Fremen.",Fremen and 'thopters,0.5508671
"[17396, 17397, 17398, 17399, 17400]","Paul shifted his crysknife to his left hand, matching his opponent. Again, they circled, probing. Feyd-Rautha began closing the space between them, edging in, knife held high, anger showing itself in squint of eye and set of jaw. He feinted right and under, and they were pressed against each other, knife hands gripped, straining. Paul, cautious of Feyd-Rautha's right hip where he suspected a poison flip-dart, forced the turn to the right.",Paul Atreides vs. Feyd-Rautha,0.54289687
"[18041, 18042, 18043, 18044, 18045]",AUMAS: poison administered in food. (Specifically: poison in solid food.) In some dialects: Chaumas. AYAT: the signs of life. (See Burhan.),Poison administered in food,0.5398223
"[12744, 12745, 12746, 12747, 12748, 12749, 12750, 12751]","And lest she forget that she's servant of us all, to her fall the menial tasks in this Ceremony of the Seed. Let it be as Shai-hulud will have it."" She lifted a brown-stick arm, dropped it. Jessica, feeling the ceremony close around her with a current that swept her beyond all turning back, glanced once at Paul's question filled face, then prepared herself for the ordeal. ""Let the watermasters come forward,"" Chani said with only the slightest quaver of uncertainty in her girl-child voice. Now, Jessica felt herself at the focus of danger, knowing its presence in the watchfulness of the throng, in the silence. A band of men made its way through a serpentine path opened in the crowd, moving up from the back in pairs. Each pair carried a small skin sack, perhaps twice the size of a human head.",Ceremony of the seed,0.5355947
"[17923, 17924, 17925, 17926]",What matter that whistling sands are an omen? What matter that you must make the sign of the fist when first you see First Moon? A man's flesh is his own and his water belongs to the tribe -- and the mystery of life isn't a problem to solve but a reality to experience. Omens help you remember this.,"Methods, systems, and computer-readable media for providing omens",0.53246653
"[17787, 17788, 17789, 17790, 17791, 17792, 17793, 17794, 17795, 17796, 17797, 17798]","Then came the Butlerian Jihad -- two generations of chaos. The god of machine-logic was overthrown among the masses and a new concept was raised: ""Man may not be replaced."" Those two generations of violence were a thalamic pause for all humankind. Men looked at their gods and their rituals and saw that both were filled with that most terrible of all equations: fear over ambition. Hesitantly, the leaders of religions whose followers had spilled the blood of billions began meeting to exchange views. It was a move encouraged by the Spacing Guild, which was beginning to build its monopoly over all interstellar travel, and by the Bene Gesserit who were banding the sorceresses. Out of those first ecumenical meetings came two major developments: 1. The realization that all religions had at least one common commandment: ""Thou shall not disfigure the soul."" 2. The Commission of Ecumenical Translators. C.E.T. convened on a neutral island of Old Earth, spawning ground of the mother religions. They met ""in the common belief that there exists a Divine Essence in the universe."" Every faith with more than a million followers was represented, and they reached a surprisingly immediate agreement on the statement of their common goal: ""We are here to remove a primary weapon from the hands of disputant religions. That weapon -- the claim to possession of the one and only revelation.""",Jihad: A Novel of Frank Herbert's Dune Universe,0.5274594
"[11519, 11520, 11521, 11522, 11523, 11524]","A voice hissed: ""He sheds tears!"" It was taken up around the ring: ""Usul gives moisture to the dead!"" He felt fingers touch his damp cheek, heard the awed whispers. Jessica, hearing the voices, felt the depth of the experience, realized what terrible inhibitions there must be against shedding tears. She focused on the words: ""He gives moisture to the dead."" It was a gift to the shadow world-- tears.",Shedding tears for the dead,0.52486765
"[933, 934, 935, 936, 937, 938, 939]","""It's just one of Gurney Halleck's tone poems for sad times."" Behind Paul Jessica began to recite: ""I remember salt smoke from a beach fire And shadows under the pines -- Solid, clean . . . fixed -- Seagulls perched at the tip of land, White upon green . . . And a wind comes through the pines To sway the shadows; The seagulls spread their wings, Lift And fill the sky with screeches. And I hear the wind Blowing across our beach, And the surf, And I see that our fire Has scorched the seaweed."" ""That's the one,"" Paul said.",Tone poem for sad times,0.5236767
"[12849, 12850]","And there was another psychokinesthetic mote within her awareness! Jessica tried to reject it, but the mote swept closer . . . closer.","Psychokinesthetic mote
Summarize the content into a title:
A psychokinesthetic mote is disclosed. The psychokinesthetic mote includes a housing, a",0.5163874
"[2408, 2409, 2410, 2411]","""It's like life--it presents a different face each time you take it. Some hold that the spice produces a learned-flavor reaction. The body, learning a thing is good for it, interprets the flavor as pleasurable--slightly euphoric. And, like life, never to be truly synthesized.""",Spice blend and method of use thereof,0.510815
"[12390, 12391, 12392, 12393, 12394]","you make paper . . . plastics . . . and isn't that chemical explosives?"" ""You know this from what you smell?"" It was another man's voice. And Paul realized she was speaking for his benefit, that she wanted him to make a quick acceptance of this assault on his nostrils. There came a buzz of activity at the head of the troop and a prolonged indrawn breath that seemed to pass through the Fremen, and Paul heard hushed voices back down the line:","Method of making paper, plastics, and isn't that chemical explosives?",0.505726
"[17837, 17838, 17839, 17840, 17841]","""Here is a work with dignity and meaning,"" they said. ""Here is a way to make humanity aware of itself as a total creation of God."" The men of C.E.T. were likened to archeologists of ideas, inspired by God in the grandeur of rediscovery. It was said they had brought to light ""the vitality of great ideals overlaid by the deposits of centuries,"" that they had ""sharpened the moral imperatives that come out of a religious conscience."" With the O.C. Bible, C.E.T. presented the Liturgical Manual and the Commentaries -- in many respects a more remarkable work, not only because of its brevity (less than half the size of the O.C. Bible), but also because of its candor and blend of self-pity and self-righteousness.",Liturgical manual and commentaries,0.50473976
"[7644, 7645]",Lighters landed and took off on Arrakis regularly to transport the spice for House Atreides. Hawat had taken precautions against random raids by false spice lighters.,Spice lighter,0.49384513
"[1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978]","And Jessica wondered: Why do I play out this sham? But the Bene Gesserit ways were devious and compelling. ""I know the Dark Things and the ways of the Great Mother,"" Jessica said. She read the more obvious signs in Mapes' actions and appearance, the petit betrayals. ""Miseces prejia,"" she said in the Chakobsa tongue. ""Andral t're pera! Trada cik buscakri miseces perakri --"" Mapes took a backward step, appeared poised to flee. ""I know many things."" Jessica said. ""I know that you have borne children, that you have lost loved ones, that you have hidden in fear and that you have done violence and will yet do more violence. I know many things.""",Bene gesserit sorceress,0.48949668
"[17380, 17381, 17382]","He realigned his own metabolism to match this threat and change the molecules of the soporific, but he felt a thrill of doubt. They'd been prepared with soporific on a blade. A soporific.",Soporific blade,0.48312077
"[2136, 2137, 2138, 2139]","He looked, from behind, like a fleshless stick figure in overlarge black clothing, a caricature poised for stringy movement at the direction of a puppet master. Only the squarish block of head with long ebony hair caught in its silver Suk School ring at the shoulder seemed alive--turning slightly to follow some movement outside. Again, she glanced around the room, seeing no sign of her son, but the closed door on her right, she knew, let into a small bedroom for which Paul had expressed a liking. ""Good afternoon.","Method and apparatus for producing a fleshless stick figure in overlarge black clothing, a caricature poised for stringy movement at the direction of a puppet master. Only the squarish block of head with long ebony hair",0.4820928
"[11381, 11382, 11383]","""Chani showed me . . . because I'm supposed to see it and give my . . . permission for the weighing of the water."" Jessica looked at Chani. ""They're recovering Jamis' water,"" Chani said, and her thin voice came out nasal past the nose plugs.",Weighing of the water,0.4781009
"[15042, 15043, 15044, 15045]","A black knife came hurtling toward him. Paul dodged, heard the knife clatter against stone behind him, glanced to see Gurney retrieve it. The triangular knots were being pressed back now. Gurney held the knife up in front of Paul's eyes, pointed to the hairline yellow coil of Imperial color, the golden lion crest, multifaceted eyes at the pommel.",Method and apparatus for manufacturing a knife with a multifaceted lion's head pommel,0.47711903
"[12958, 12959, 12960, 12961, 12962, 12963, 12964]","And she saw the thread of the past carried by Sayyadina after Sayyadina--first by word of mouth, hidden in the sand chanteys, then refined through their own Reverend Mothers with the discovery of the poison drug on Rossak . . . and now developed to subtle strengthen Arrakis in the discovery of the Water of Life. Far down the inner corridor, another voice screamed: ""Never to forgive! Never to forget!"" But Jessica's attention was focused on the revelation of the Water of Life, seeing its source: the liquid exhalation of a dying sandworm, a maker. And as she saw the killing of it in her new memory, she suppressed a gasp. The creature was drowned! ""Mother, are you all right?"" Paul's voice intruded on her, and Jessica struggled out of the inner awareness to stare up at him, conscious of duty to him, but resenting his presence.",Sandworms of Dune: A Novel of the Planet Arrakis (Dune Universe),0.472811
"[14014, 14015, 14016, 14017, 14018, 14019, 14020]","This was a good dune Stilgar had chosen, higher than its companions for the viewpoint vantage. Stooping, Paul planted the thumper deep into the windward face where the sand was compacted and would give maximum transmission to the drumming. Then he hesitated, reviewing the lessons, reviewing the life-and-death necessities that faced him. When he threw the latch, the thumper would begin its summons. Across the sand, a giant worm -- a maker -- would hear and come to the drumming. With the whiplike hook-staffs, Paul knew, he could mount the maker's high curving back. For as long as a forward edge of a worm's ring segment was held open by a hook, open to admit abrasive sand into the more sensitive interior, the creature would not retreat beneath the desert.",Method and apparatus for summoning and riding a sandworm,0.47262
"[12953, 12954, 12955, 12956]","There had been Fremen on Poritrin, she saw, a people grown soft with an easy planet, fair game for Imperial raiders to harvest and plant human colonies on Bela Tegeuse and Salusa Secundus. Oh, the wailing Jessica sensed in that parting. Far down the corridor, an image-voice screamed: ""They denied us the Hajj!"" Jessica saw the slave cribs on Bela Tegeuse down that inner corridor, saw the weeding out and the selecting that spread men to Rossak and Harmonthep.",Dune: House Atreides (House Atreides Book 1),0.46919665
"[18019, 18020, 18021, 18022, 18023, 18024, 18025, 18026, 18027, 18028, 18029, 18030, 18031, 18032, 18033, 18034, 18035, 18036, 18037]","= = = = = = Terminology of the Imperium In studying the Imperium, Arrakis, and the whole culture which produced Muad'Dib, many unfamiliar terms occur. To increase understanding is a laudable goal, hence the definitions and explanations given below. ABA: loose robe worn by Fremen women; usually black. ACH: left turn: a worm-steersman's call. ADAB: the demanding memory that comes upon you of itself. AKARSO: a plant native to Sikun (of 70 Ophiuchi A) characterized by almost oblong leaves. Its green and white stripes indicate the constant multiple, condition of parallel active and dormant chlorophyll regions. ALAM AL-MITHAL: the mystical world of similitudes where all physical limitations are removed. AL-LAT: mankind's original sun; by usage: any planet's primary. AMPOLIROS: the legendary ""Flying Dutchman"" of space. AMTAL or AMTAL RULE: a common rule on primitive worlds under which something is tested to determine its limits or defects. Commonly: testing to destruction. AQL: the test of reason. Originally, the ""Seven Mystic Questions"" beginning: ""Who is it that thinks?"" ARRAKEEN: first settlement on Arrakis; long-time seat of planetary government. ARRAKIS: the planet known as Dune; third planet of Canopus.","Methods, systems, and apparatus, including computer programs encoded on a computer-readable storage medium, for managing terminology of the Imperium. In some implementations, a method includes receiving, from a user, a request to add a term",0.4688666
"[14708, 14709]","Gurney opened the bubble dome, released his safety straps. The instant the factory stopped, he was out, slamming the bubble closed behind him, scrambling out over the tread guards to swing down to the sand beyond the emergency netting.",Bubble dome rescue system and methods of use thereof,0.46506995
"[12692, 12693, 12694]","It had been a strange day with these two standing guard over him because he asked it, keeping away the curious, allowing him the time to nurse his thoughts and prescient memories, to plan a way to prevent the jihad. Now, standing beside his mother on the cavern ledge and looking out at the throng, he wondered if any plan could prevent the wild outpouring of fanatic legions. Chani, nearing the ledge, was followed at a distance by four women carrying another woman in a litter.",The Last Jihad: A Novel of the Coming Islamic Invasion of America,0.46353614
"[1450, 1451]","""But it has eighteen hundred pages. You press the edge -- thus, and so . . . and the charge moves ahead one page at a time as you read.",Electronic reading device and method of operation thereof,0.46211952
"[16303, 16304, 16305, 16306, 16307]","""Dispatch a cielago with a time signal,"" Paul ordered. ""Some ground cars are moving toward the south wall,"" the man at the telescope said. ""Some are using projectile weapons, testing. Our people are using body shields as you commanded. The ground cars have stopped.""","Methods, systems, and computer-readable media for dispatching a cielago with a time signal",0.46147513
"[17688, 17689, 17690, 17691, 17692]","He began reexamining the evidence of the dry wells where trickles of water had appeared and vanished, never to return. Kynes set his newly trained Fremen limnologists to work: their chief clue, leathery scraps of matter sometimes found with the spice-mass after a blow. This had been ascribed to a fictional ""sandtrout"" in Fremen folk stories. As facts grew into evidence, a creature emerged to explain these leathery scraps -- a sandswimmer that blocked off water into fertile pockets within the porous lower strata below the 280° (absolute) line. This ""water-stealer"" died by the millions in each spiceblow.",Sandworms of Dune,0.46077684
"[4346, 4347, 4348, 4349, 4350, 4351, 4352, 4353]","He leaned back, grabbed the microphone from the panel, punched out a new frequency selection. Glancing at the grid chart on rollers over their heads, he spoke into the microphone: ""Calling crawler at Delta Ajax niner. Wormsign warning. Crawler at Delta Ajax niner. Wormsign warning. Acknowledge, please."" He waited. The panel speaker emitted static crackles, then a voice: ""Who calls Delta Ajax niner?",Method and apparatus for communicating with a crawler in a wormhole,0.4592994
"[3755, 3756, 3757]","Perhaps it could become a good home for my son. Then he saw the human figures moving into the flower fields, sweeping them with strange scythelike devices--dew gatherers. Water so precious, here that even the dew must be collected.",Method and apparatus for dew harvesting,0.45712355
"[7674, 7675]","Beard and mustache were stained at one side of the mouth, his hair matted there by pressure of the looping catchtube from his nose plugs. The man removed his plugs, readjusted them.",Method and apparatus for cleaning a person's nasal passages,0.45675835
"[7615, 7616, 7617, 7618, 7619, 7620, 7621, 7622, 7623, 7624]","The man squatting across from Hawat was a Fremen who had come across the sink in the first light of false dawn, skittering over the sand, blending into the dunes, his movements barely discernible. The Fremen extended a finger to the sand between them, drew a figure there. It looked like a bowl with an arrow spilling out of it. ""There are many Harkonnen patrols,"" he said. He lifted his finger, pointed upward across the cliffs that Hawat and his men had descended. Hawat nodded. Many patrols. Yes. But still he did not know what this Fremen wanted and this rankled. Mentat training was supposed to give a man the power to see motives.",Dune: Book VI of the Dune Saga,0.45157516
"[2709, 2710, 2711, 2712, 2713, 2714, 2715]","Her fingers detected the subtle coded dots, scanned them in a single passage: ""Your son and Duke are in immediate danger. A bedroom has been designed to attract your son. The H loaded it with death traps to be discovered, leaving one that may escape detection."" Jessica put down the urge to run back to Paul; the full message had to be learned. Her fingers sped over the dots; ""I do not know the exact nature of the menace, but it has something to do with a bed. The threat to your Duke involves defection of a trusted companion or lieutenant. The H plan to give you as gift to a minion.",Method and apparatus for communicating using coded dots,0.4505502
"[3229, 3230, 3231, 3232]","Chuckles sounded around the table. Paul held himself apart from the humor, his attention focused on the projection and the question that filled his mind. He pointed to the image on the table, said: ""Thufir, are there sandworms big enough to swallow that whole?"" Quick silence settled on the table.",Sandworms of Dune,0.44528615
"[1427, 1428, 1429, 1430, 1431]","I've a filmbook on a small specimen, only one hundred and ten meters long and twenty-two meters in diameter. It was taken in the northern latitudes. Worms of more than four hundred meters in length have been recorded by reliable witnesses, and there's reason to believe even larger ones exist."" Paul glanced down at a conical projection chart of the northern Arrakeen latitudes spread on the table. ""The desert belt and south polar regions are marked uninhabitable.","Methods, systems, and computer-readable media for managing sandworms of Arrakis are disclosed herein. According to some embodiments, a method for managing sandworms of Arrakis may include receiving",0.445274
