range,content,summary,similarity
"[2400, 2401, 2402]","At first she slept on the floor and cooked and cleaned for the fisherman all day long, but as Nell and Harv got bigger, she began to give them more and more chores, until by the time their father disappeared, they toiled from dawn until long after nightfall, while their stepmother never lifted a finger.” “Why didn't the fisherman and his babies live in the castle to protect them from the monster?” “The castle was a dark forbidding place on the top of a mountain.",Fisherman and his babies and the wicked stepmother,0.7031203
"[6552, 6553, 6554]","In the ractive. See, Burly's bitch gets pregnant, and she's got to buy herself a Freedom Machine to get rid of it, so she gets a job as a maid-of-all-work for some snotty Vickys and rips off some of their nice old stuff, figuring that's a faster way to get the money. So the bitch is running away and they're chasing her on their chevs, and then Burly Scudd shows up in his big truck and turns the tables and starts chasing them.","Burly's bitch gets pregnant, and she's got to buy herself a Freedom Machine to get rid of it, so she gets a job as a maid-of-all-work for some snotty",0.6953635
"[1456, 1457, 1458]","Bamboo was better—and not that much harder to program, if you just had a bit of imagination. Once he'd made that conceptual leap, it wasn't long before he came up with the idea of selling advertising space on the damn things, chopstick handles and Chinese columnar script being a perfect match. Before long he was presenting it to his superiors: eminently user-friendly bamboid chopsters with colorful advertising messages continuously scrolling up their handles in real time, like news headlines in Times Square.",Advertising bamboo chopsticks,0.6833085
"[4382, 4383, 4384, 4385]","I will also need a bowl of water,” Purple said, and collected the three items from her three friends. Nell read on into the Primer, learning about how Purple made a compass by magnetizing the needle, thrusting it through the cork, and floating it in the bowl of water. She read about their three-day journey through the land of King Magpie, and of all the tricks it contained—animals that stole their food, quicksand, sudden rainstorms, appetizing but poisonous berries, snares, and pitfalls set to catch uninvited guests. Nell knew that if she wanted, she could go back and ask questions about these things later and spend many hours reading about this part of the adventure.",Purple's primer: a guide to the adventure of purple and her three friends in the land of king magpie,0.6810071
"[3153, 3154, 3155]","The tallest buildings in Pudong were held up by huge aerostats—vacuum-filled ellipsoids hundreds of stories above street level, much wider than the buildings they supported, and usually covered with lights. Some of these extended out over the river itself. Judge Fang rested his elbows carefully on the rail to maintain his balance, then tilted his head back so that he was staring straight up at the underside of one such, pulsing with oversaturated colored light.","Aerostat-supported skyscrapers in Pudong, Shanghai",0.68035644
"[5479, 5480, 5481]","Zhang had personally liberated several lao gai camps, where slave laborers were hard at work making trinkets for export to the West, smashing computer display screens with the massive dragon's-head grip of his cane, beating the overseers into bloody heaps on the ground. Zhang's “investigations” of various thriving businesses, mostly in the south, had thrown millions of people out of work. They had gone into the streets and raised hell and been joined by sympathetic units of the People's Liberation Army.",The Dragon's Head Cane: A Novel Based on the Life of Mao Zedong's Enforcer,0.676597
"[8501, 8502, 8503]","But it didn't, and he did not understand why until once, in the corner of his eye, he saw a wall segment shift sideways, closing up an old gap and creating a new one. It was a dynamic labyrinth. He found a rusty bolt on the floor, picked it up, and threw it at a wall.",Dynamic labyrinth,0.67416704
"[892, 893, 894, 895, 896, 897]","The centerpiece of the fresco was a flock of cybernetic cherubs, each shouldering a spherical atom, converging on some central work-in-progress, a construct of some several hundred atoms, radially symmetric, perhaps intended to look like a bearing or motor. Brooding over the whole thing, quite large but obviously not to scale, was a white-coated Engineer with a monocular nanophenomenoscope strapped to his head. No one really used them because you couldn't get depth perception, but it looked better on the fresco because you could see the Engineer's other eye, steel-blue, dilated, scanning infinity like the steel oculus of Arecibo. With one hand the Engineer stroked his waxed mustache. The other was thrust into a nanomanipulator, and it was made obvious, through glorious overuse of radiant tromp l'oeil, that the atom-humping cherubs were all dancing to his tune, naiads to the Engineer's Neptune. The corners of the fresco were occupied with miscellaneous busywork; in the upper left, Feynman and Drexler and Merkle, Chen and Singh and Finkle-McGraw reposed on a numinous buckyball, some of them reading books and some pointing toward the work-in-progress in a manner that implied constructive criticism.",Fresco depicting the history of nanotechnology,0.651576
"[8606, 8607, 8608, 8609]","Its base was as wide as a mountain, and its walls rose sheer and straight into the clouds. Galactic clouds of lights shone from its myriad windows. It was guarded by mighty stockades, each of them a great castle unto itself, but built not on stony foundations, but upon the very clouds themselves; for King Coyote, in his cleverness, had devised a way to make buildings that floated on the air. Princess Nell spurred her horse forward, for even in her numbness she sensed that someone might be watching the high road from a window high in one of the castle's glittering oriels.",Floating castle of king coyote,0.626626
"[9335, 9336, 9337, 9338, 9339]","A gaunt man in a black leather skullcap was standing directly in front of her, reaching for a gun, and while she was shoving her knife up through the center of his thorax, she bumped into someone behind her. She jumped to her feet and spun around, terrified, readying the knife for another blow, and discovered a much more terrified man in a blue coverall, standing by the elevator's control panel, holding his arms up in front of his face and screaming. Nell stepped back and lowered the point of the knife. The man was wearing the uniform of a building services worker and had obviously been yanked away from whatever he had been doing and put in charge of the elevator's controls. The man whom Nell had just killed, the one in the black leather skullcap, was some sort of low-level official in the rebellion and could not be expected to demean himself by punching the buttons himself.","The Gaunt Man in the Black Leather Skullcap Was Standing Directly in Front of Her, Reaching for a Gun, and While She Was Shoving Her Knife Up Through the Center of His Thorax, She Bumped",0.6200576
"[4043, 4044, 4045, 4046]","“You will forgive me for ruining the surprise,” he said, “by telling you that this is a book, my darling. A magic book. I made it for you, because I love you and could not think of a better way to express that love. And whenever you open its pages, no matter how far away I might be, you will find me here.”",Magic book,0.6193912
"[1361, 1362, 1363, 1364, 1365, 1366, 1367, 1368, 1369, 1370]","The artificial ones had all been developed in the past few decades. Most of them consisted of a spherical or ellipsoidal hull with various attachments. The hull was a vacuole, a wee bit of the eutactic environment to coddle the mite's machine-phase innards. The hull's diamondoid structure was protected from the light by a thin layer of aluminum that made mites look like miniature spaceships—only with the air on the outside and the vacuum inside. Attached to the hulls were various bits of gear: manipulators, sensors, locomotion systems, and antennas. The antennas were not at all like the ones on an insect—they were usually flat patches studded with what looked like close-cropped fuzz—phased-array systems for sweeping beams of visible light through the air. Most of the mites were also clearly marked with the manufacturer's name and a part number; this was demanded by Protocol. A few of them were unmarked. These were illicit and had been invented either by people like Dr. X; by outlaw phyles who spurned Protocol; or by the covert labs that most people assumed were run by all the zaibatsus. During half an hour's rooting around through Hackworth's skin, roaming around an area perhaps a millimeter on a side, they observed a few dozen artificial mites, not an unusual number nowadays.","Article of manufacture comprising an artificial mite, wherein the artificial mite comprises a body having a first end and a second end opposite the first end; a first pair of legs extending from the first end of the body; a",0.6176971
"[7454, 7455, 7456, 7457]","Finally she backed several paces away from the edge of the cliff, took her hands out of her jacket pockets, seemed to draw a few deep breaths, then ran forward and launched herself into space. She screamed as she did it, a scream to drive out her own fear. The rope ran through a pulley fixed near the top of the cliff. She fell for a few meters, the rope tightened, the man's knot held, and the rope, which was somewhat elastic, brought her to a firm but not violent stop just above the wicked pile of rubble and snags at the base of the cliff.",Method and apparatus for rescuing a person from a cliff,0.6114511
"[6101, 6102, 6103]","Purple and Princess Nell then traveled together for several years, and on many a dark night, sitting around the campfire under a full moon, Purple had taught Nell secret things from her magic books and from the ancient lore she kept in her head. Recently they had traveled for a thousand miles on camelback across a great desert full of djinns, demons, sultans, and caliphs and finally reached the great onion-domed palace of the local Faery King—himself a djinn of great power—who ruled over all the desert lands. Princess Nell had devised a complicated plan to trick their way into the djinn's treasury.","Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for princess nell and the djinn. In some implementations, princess nell and the djinn may include receiving, by a computing device from a",0.6108821
"[3683, 3684]","“We take a somewhat different view of hypocrisy,” Finkle-McGraw continued. “In the late-twentieth-century Weltanschauung, a hypocrite was someone who espoused high moral views as part of a planned campaign of deception—he never held these beliefs sincerely and routinely violated them in privacy.",Systems and methods for detecting hypocrisy,0.60835767
"[1866, 1867, 1868, 1869, 1870, 1871, 1872, 1873, 1874, 1875, 1876]","“So the sky-eye dispatched another flight of aerostats, specialized for tagging.” An image of a tagger stat appeared: smaller and narrower than the cinestats, reminiscent of a hornet with the wings stripped off. The nacelles containing the tiny air turbines, which gave such devices the power to propel themselves through the air, were prominent; it was built for speed. “The suspected assailants adopted countermeasures,” Miss Pao said, again using that deadpan tone. On the cine feed, the criminals were retreating. The cinestat followed them with a nice tracking shot. Judge Fang, who had watched thousands of hours of film of thugs departing from the scenes of their crimes, watched with a discriminating eye. Less sophisticated hoodlums would simply have run away in a panic, but this group was proceeding methodically, two to a bicycle, one person pedaling and steering while the other handled the countermeasures. Two of them were discharging fountains of material into the air from canisters on their bicycles' equipment racks, like fire extinguishers, waving the nozzles in all directions. “Following a pattern that has become familiar to law enforcement,” Miss Pao said, “they dispersed adhesive foam that clogged the intakes of the stats' air turbines, rendering them inoperative.” The big mediatron had also taken to emitting tremendous flashes of light that caused Judge Fang to close his eyes and pinch the bridge of his nose.","Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for aerostat tagging. In some implementations, a method includes determining that an aerostat is located at a first location, wherein the aer",0.6063298
"[8845, 8846, 8847, 8848]","She picked up the book and walked out of the library, taking care not to step on any of her subjects, and followed them out to the vast empty space beyond. Once again the Mouse Army put on a dazzling display of close-order drill, drawing itself up across the empty, colorless plain by platoons, companies, battalions, regiments, and brigades; but this time the parade took up a much larger space, because this time the mice took care to space themselves as far apart as the length of a human arm. Some of the platoons had to march what was, for them, a distance of many leagues in order to reach the edges of the formation. Princess Nell took advantage of the time to wander about and inspect the ranks, and to rehearse the spell.",Mouse army and the princess nell,0.60211253
"[917, 918, 919, 920, 921, 922, 923, 924, 925, 926, 927, 928, 929, 930, 931, 932, 933, 934, 935, 936, 937, 938, 939, 940, 941, 942, 943, 944, 945, 946, 947, 948, 949, 950, 951]","Laced through it was a network of invisibly tiny rigid structures, motors, position sensors, and tactile stimulators. The sensors kept track of his hand's position, how much each joint of each knuckle was bent, and so on. The rest of the gear made him feel as though he were touching real objects. The glove's movements were limited to a roughly hemispherical domain with a radius of about one cubit; as long as his elbow stayed on or near its comfy elastomeric rest, his hand was free. The glove was attached to a web of infinitesimal wires that emerged from filatories placed here and there around the workstation. The filatories acted like motorized reels, taking up slack and occasionally pulling the glove one way or another to simulate external forces. In fact they were not motors but little wire factories that generated wire when it was needed and, when slack needed to be taken up or a wire needed a tug, sucked it back in and digested it. Each wire was surrounded by a loose accordion sleeve a couple of millimeters in diameter, which was there for safety, lest visitors stick their hands in and slice off fingers on the invisible wires. Cotton was working with some kind of elaborate structure consisting, probably, of several hundred thousand atoms. Hackworth could see this because each workstation had a mediatron providing a two-dimensional view of what the user was seeing. This made it easy for the supervisors to roam up and down the aisles and see at a glance what each employee was up to. The structures these people worked with seemed painfully bulky to Hackworth, even though he'd done it himself for a few years. The people here in Merkle Hall were all working on mass-market consumer products, which by and large were not very demanding. They worked in symbiosis with big software that handled repetitive aspects of the job. It was a fast way to design products, which was essential when going after the fickle and impressionable consumer market. But systems designed that way always ended up being enormous. An automated design system could always make something work by throwing more atoms at it. Every engineer in this hall, designing those nanotechnological toasters and hair dryers, wished he could have Hackworth's job in Bespoke, where concinnity was an end in itself, where no atom was wasted and every subsystem was designed specifically for the task at hand. Such work demanded intuition and creativity, qualities neither abundant nor encouraged here in Merkle Hall. But from time to time, over golf or karaoke or cigars, Däurig or one of the other supervisors would mention some youngster who showed promise. Because Lord Alexander Chung-Sik Finkle-McGraw was paying for Hackworth's current project, the Young Lady's Illustrated Primer, price was no object. The Duke would brook no malingering or corner-cutting, so everything was as start as Bespoke could make it, every atom could be justified. Even so, there was nothing especially interesting about the power supply being created for the Primer, which consisted of batteries of the same kind used to run everything from toys to airships. So Hackworth had farmed that part of the job out to Cotton, just to see whether he had potential. Cotton's gloved hand fluttered and probed like a stuck horsefly in the center of the black web. On the mediatronic screen attached to his workstation, Hackworth saw that Cotton was gripping a medium-size (by Merkle Hall standards) subassembly, presumably belonging to some much larger nanotechnological system. The standard color scheme used in these phenomenoscopes depicted carbon atoms in green, sulfur in yellow, oxygen in red, and hydrogen in blue. Cotton's assembly, as seen from a distance, was generally turquoise because it consisted mostly of carbon and hydrogen, and because Hackworth's point of view was so far away that the thousands of individual atoms all blended together. It was a gridwork of long, straight, but rather bumpy rods laid across each other at right angles. Hackworth recognized it as a rod logic system—a mechanical computer. Cotton was trying to snap it together with some larger part. From this Hackworth inferred that the auto-assembly process (which Cotton would have tried first) hadn't worked quite right, and so now Cotton was trying to maneuver the part into place by hand. This wouldn't fix what was wrong with it, but the telæsthetic feedback coming into his hand through those wires would give him insight as to which bumps were lining up with which holes and which weren't. It was an intuitive approach to the job, a practice furiously proscribed by the lecturers at the Royal Nanotechnological Institute but popular among Hackworth's naughty, clever colleagues. “Okay,” Cotton finally said, “I see the problem.”",Nanotechnology glove,0.59980994
"[6095, 6096]",She had done this by traveling to the lands of the Faery Kings and Queens who owned those keys and using the tricks she had learned from her Night Friends. Each key had come to her in a different way.,Key collector's handbook: a guide to unlocking the secrets of the faery realm,0.59568226
"[1707, 1708, 1709]","Got some stuff for the Flea Circus.” Nell wasn't sure what the Flea Circus was, but she had learned that it was good to have stuff to take there, that Harv usually came back from the Flea Circus with an access code for a new ractive. Harv shouldered the light switch on and kneeled in the middle of the room before relaxing his arms, lest some small thing fall out and be lost in a corner.",Apparatus and method for performing a flea circus,0.59455043
"[6696, 6697, 6698]","“You said that these particles interact with each other?” “Each one is a container for some rod logic and some memory,” Napier said. “When one particle encounters another either in vivo or in vitro, they dock and seem to exchange data for a few moments.",Systems and methods for detecting interactions between particles in vivo and/or in vitro,0.58635736
"[1884, 1885, 1886, 1887, 1888, 1889, 1890, 1891]","Up in the corner, the small diagram of the tagging aerostat zoomed in to a high magnification, revealing some of the device's internal complications, so that it began to look less like a hornet and more like a cutaway view of a starship. Mounted in the nose was a device that spat out tiny darts drawn from an interior magazine. At first these were almost invisibly tiny, but as the view continued to zoom, the hull of the tagging aerostat grew until it resembled the gentle curve of a planet's horizon, and the darts became more clearly visible. They were hexagonal in cross-section, like pencil stubs. When they were shot out of the tag stat's nose, they sprouted cruel barbs at the nose and a simple empennage at the tail. “The suspect had experienced a ballistic interlude earlier in the evening,” Miss Pao said, “regrettably not filmed, and relieved himself of excess velocity by means of an ablative technique.” Miss Pao was outdoing herself. Judge Fang raised an eyebrow at her, briefly hitting the pause button.",Apparatus and method for tagging an aerostat,0.58615184
"[3348, 3349, 3350, 3351, 3352, 3353, 3354]","Victorians and Confucians alike had learned new uses for the foyer, anteroom, or whatever it was called, and for the old etiquette of visiting cards. For that matter, all tribes with sophistication in nanotech understood that visitors had to be carefully examined before they could be admitted into one's inner sanctum, and that such examination, carried out by thousands of assiduous reconnaissance mites, took time. So elaborate waiting-room etiquette had flourished, and sophisticated people all over the world understood that when they called upon someone, even a close friend, they could expect to spend some time sipping tea and perusing magazines in a front room infested with unobtrusive surveillance equipment. One entire wall of Dr. X's front room was a mediatron. Cine feeds, or simple stationary graphics, could be digitally posted on such a wall just as posters and handbills had been in olden times. Over time, if not removed, they tended to overlap each other and build up into an animated collage. Centered on Dr. X's media wall, partly concealed by newer clips, was a cine clip as ubiquitous in northern China as the face of Mao—Buddha's evil twin—had been in the previous century.","Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for nanotechnologically enhanced etiquette. One of the methods includes receiving, from a user device associated with a first user, a request to",0.5847772
"[8645, 8646, 8647, 8648]","The messenger with the goatee made a visible effort to control his amusement and said, “King Coyote is no small-timer sitting in a stall at the Cipherers' Market! This you will soon see for yourself.” “But doesn't he make his decisions the same way as all the others—by consulting rules in a book?” At this the other messengers made no effort to control their amusement.","Methods, systems, and computer-readable media for providing a messenger with the goatee visits the cipherers' market",0.58296275
"[5078, 5079, 5080, 5081, 5082, 5083, 5084, 5085]","It was lined with red stone row-houses with turrets and gargoyles and beveled glass everywhere. Men in top hats and women in long dresses strolled, pushed perambulators, rode horses or chevalines. Shiny dark green robots, like refrigerators tipped over on their sides, hummed down the streets at a toddler's walking pace, squatting over piles of manure and inhaling them. From place to place there was a messenger on a bicycle or an especially fancy personage in a black, full-lane car. Rita stopped Eggshell in front of a house and paid a little boy to hold the reins. From the saddlebags she took a sheaf of new paper, all wrapped up in special wrapping-paper that she'd also made. She carried it up the steps and rang the bell. The house had a round tower on the front, lined with bow windows with stained-glass inserts above them, and through the windows and the lace curtains Nell could see, on different stories, crystal chandeliers and fine plates and dark brown wooden bookcases lined with thousands and thousands of books.",Story about a girl named Rita and her friend Eggshell and how they came to live in a red stone row-house with turrets and gargoyles and beveled glass everywhere. Men in top hats and women in long,0.57721364
"[2059, 2060, 2061]","“Pardon me, but not precisely, sir. Folklore consists of certain universal ideas that have been mapped onto local cultures. For example, many cultures have a Trickster figure, so the Trickster may be deemed a universal; but he appears in different guises, each appropriate to a particular culture's environment.",Method and apparatus for identifying and classifying folklore,0.5751736
"[3029, 3030]","“Reptiles are obsolete,” said the King of the Shrews. “Reptiles are just retarded birds,” said the King of the Birds, “and so I am your King, thank you very much.”",King of the shrews and king of the birds,0.57133824
"[4796, 4797, 4798, 4799, 4800, 4801]","When she could no longer see him, she curled up sobbing, and in time Rita came and gathered her up in her strong arms and carried her slowly back across the field to the Millhouse where the steady wheel rolled. Orphans of the Han are exposed to the benefits of modern educational technology; Judge Fang reflects on the fundamental precepts of Confucianism. The orphanage ships had built-in matter compilers, but they could not, of course, be hooked up to Sources. Instead they drew their supplies of matter from cubical containers, rather like tanks of atoms arranged very precisely. These containers could be loaded on board with cranes and hooked up to the matter compilers in the same way that Feed lines would be if they resided on shore. The ships put in to Shanghai frequently, offloaded empty containers, and took new ones on board—their hungry populations were fed almost exclusively on synthetic rice produced by the matter compilers.",Ship of orphans of the Han,0.5709486
"[3159, 3160, 3161]","Judge Fang and Dr. X repaired to a dining cabin belowdecks with panoramic windows that mostly just reflected back the light of the candles and lanterns around the table. Not long after they had taken their seats, the yacht accelerated powerfully, first shooting forward and then leaping up out of the water before resuming its steady, level motion. Judge Fang realized that the yacht was actually a hydrofoil, which had been merely idling along on her hull while they had enjoyed the city view but which had now climbed up out of the water.",Hydrofoil-powered luxury yacht,0.570801
"[3084, 3085]","In the center of the flow, a tall black rock stood out like an island in the middle of a river. The King of the Birds plucked one golden feather from his tail and gave it to a soldier, who took it in his beak, flew over the lava, and left that feather on the very top of the black rock.",Bird's feather,0.5630436
"[5745, 5746, 5747]","In one hand he held a copy of the Young Lady's Illustrated Primer. Behind him, Mrs. Finkle-McGraw could be seen holding Elizabeth by the wrist in a grip that recalled the blacksmith's tongs holding a dangerously hot ingot ready for smiting; and the radiant glow of the little girl's face perfected that analogy. She had bent down so that her face was level with Elizabeth's and was hissing something to her in a low and reproaching tone.",Young lady's illustrated primer,0.55910724
"[6424, 6425]","Turning it around in her fingers, Nell realized that it was much like a horse's bridle—except sized to fit around the head of a cat. She was standing on the trail of a vast army of mice, who rode on the backs of cats in the way that knights ride on horses.",Bridle for cats and methods of use thereof,0.5576204
"[9579, 9580, 9581, 9582, 9583]","Then he spread his pages out on the ground before him and returned to the pursuit that had occupied him in his hotel room for the past few days, namely, the search for Miranda. He had begun this search at the bidding of Lord Finkle-McGraw, pursued it with mounting passion over the last few days as he had begun to understand how much he'd been missing Miranda, and was now pressing the work desperately; for he had realized that in this search might reside the only hope for the salvation of the tens of thousands of Outer Tribesmen now encamped upon the dead streets of the Pudong Economic Zone. Final onslaught of the Fists; victory of the Celestial Kingdom; refugees in the domain of the Drummers; Miranda. The Huang Pu stopped the advance of the Celestial Army toward the sea, but having crossed the river farther inland, it continued to move northward up the Pudong Peninsula at a walking pace, driving before it flocks of starving peasants much like the ones who had been their harbingers in Shanghai. The occupants of Pudong—a mixture of barbarians, Coastal Republic Chinese who feared persecution at the hands of their Celestial cousins, and Nell's little sisters, a third of a million strong and constituting a new phyle unto themselves—were thus caught between the Celestials on the south, the Huang Pu on the west, the Yangtze on the north, and the ocean on the east.","Miranda, or, How I Came to Understand That I Had Been Searching for Her All Along",0.55252725
"[7472, 7473]","“Software khans,” Hackworth said. “The F.D.R. works for them, because they have something in common—old software money.",Software khans,0.55252635
"[7880, 7881, 7882, 7883]","He has accepted his guilt, and so he accepts the punishment. There is no longer a contest of wills, because he has become submissive.” “So what do we do?” “We must create a genuine contest of wills.",Apparatus and method for creating a genuine contest of wills,0.55133605
"[1116, 1117, 1118]","“It'll protect you from toner.” “What's toner?” she mumbled. The words did not make it out through the mask, but Harv guessed them from the look in her eyes.",Toner-resistant face mask,0.54750425
"[5619, 5620, 5621, 5622]","It brings in adequate revenue.” Three girls go exploring; a conversation between Lord Finkle-McGraw and Mrs. Hackworth; afternoon at the estate. Three girls moved across the billiard-table lawn of a great manor house, circling and swarming about a common center of gravity like gamboling sparrows. Sometimes they would stop, turn inward to face one another, and engage in animated discussion.",Three girls and a great manor house,0.5458566
"[6841, 6842, 6843, 6844, 6845]","She was attacking two problems at once. First, she needed to figure out how the lock on the door worked. Second, she needed to find out whether the person sending her the message was human or mechanical. If she could be confident that he was a human, she could ask him for assistance in opening the lock, but until she had settled this issue, she had to keep her activities a secret. The lock only had a few parts that she could observe: the crank, the bolt, and a pair of brass drums set into the top with digits from 0 to 9 engraved in them, so that by spinning different ways, they could display all the integers from 00 to 99.",Systems and methods for unlocking a door,0.5453298
"[3472, 3473, 3474, 3475, 3476]","“I must make it clear to Your Honour that the Primer is, in large part, a ractive—that is, it requires the participation of adult ractors. While one or two extra copies might go unnoticed, a large number of them would overwhelm the built-in system provided for paying for such services.” “Then part of your responsibility will be to make alterations in the Primer so that it is suitable for our requirements—we can make do without those parts of the book that depend heavily on outside ractors, and supply our own ractors in some cases,” Judge Fang said. “This should be feasible. I can build in automatic voice-generation capabilities—not as good, but serviceable.”",Method and apparatus for creating and distributing a customized version of a primer,0.544363
