range,content,summary,similarity
"[1737, 1738, 1739, 1740, 1741, 1742, 1743, 1744, 1745, 1746, 1747, 1748, 1749]","The gate blurred past. He laughed. The Sense/Net ice had accepted his entry as a routine transfer from the consortium’s Los Angeles complex. He was inside. Behind him, viral sub-programs peeled off, meshing with the gate’ s code fabric, ready to deflect the real Los Angeles data when it arrived. He flipped again. Molly was strolling past the enormous circular reception desk at the rear of the lobby. 12:01:20 as the readout flared in her optic nerve. At midnight, synched with the chip behind Molly’s eye, the link man in Jersey had given his command. “Mainline.” Nine Moderns, scattered along two hundred miles of the Sprawl, had simultaneously dialed MAX EMERG from pay phones. Each Modern delivered a short set speech, hung up, and drifted out into the night, peeling off surgical gloves. Nine different police departments and public security agencies were absorbing the information that an obscure sub sect of militant Christian fundamentalists had just taken credit for having introduced clinical levels of an outlawed psychoactive agent known as Blue Nine into the ventilation system of the Sense/Net Pyramid.",Gate blurred past,0.34472954
"[6587, 6588, 6589, 6590, 6591, 6592, 6593, 6594, 6595, 6596, 6597, 6598, 6599, 6600, 6601]","The white.” Case jacked out. Maelcum was hunched over Garvey’s controls, tapping out commands for a docking sequence. The module’s central screen displayed a fixed red square that represented the Straylight dock. Garvey was a larger square, green, that shrank slowly, wavering from side to side with Maelcum’s commands. To the left, a smaller screen displayed a skeletal graphic of Garvey and Haniwa as they approached the curvature of the spindle. “We got an hour, man,” Case said, pulling the ribbon of fiberoptics from the Hosaka. His deck’s backup batteries were good for ninety minutes, but the Flatline’s construct would be an additional drain. He worked quickly, mechanically, fastening the construct to the bottom of the Ono-Sendai with micro-pore tape. Maelcum’s workbelt drifted past. He snagged it, unclipped the two lengths of shock cord, with their gray rectangular suction pads, and hooked the jaws of one clip through the other. He held the pads against the sides of his deck and worked the thumb lever that created suction. With the deck, construct, and improvised shoulder strap suspended in front of him, he struggled into his leather jacket, checking the contents of his pockets. The passport Armitage had given him, the bank chip in the same name, the credit chip he’d been issued when he’d entered Freeside, two derms of the Betaphenethylamine he’d bought from Bruce, a roll of New Yen, half a pack of Yeheyuans, and the shuriken. He tossed the Freeside chip over his shoulders, heard it click off the Russian scrubber.",Method and apparatus for docking a spacecraft,0.3397227
"[1727, 1728, 1729, 1730, 1731, 1732, 1733, 1734, 1735]","Case felt like laughing. He could feel the micro pore tape across her ribcage, feel the flat little units under it: the radio, the Simstim unit, and the scrambler. The throat mike, glued to her neck, looked as much as possible like an analgesic dermadisk. Her hands, in the pockets of the pink coat, were flexing systematically through a series of tension-release exercises. It took him a few seconds to realize that the peculiar sensation at the tips of her fingers was caused by the blades as they were partially extruded, then retracted. He flipped back. His program had reached the fifth gate. He watched as his icebreaker strobed and shifted in front of him, only faintly aware of his hands playing across the deck, making minor adjustments. Translucent planes of color shuffled like a trick deck.",Method and apparatus for extracting information from a subject's subconscious during hypnosis,0.32298923
"[3239, 3240, 3241, 3242]","Case punched for the Swiss banking sector, feeling a wave of exhilaration as cyberspace shivered, blurred, gelled. The Eastern Seaboard Fission Authority was gone, replaced by the cool geometric intricacy of Zurich commercial banking. He punched again, for Berne. “Up,” the construct said.",Systems and methods for managing financial transactions,0.31970984
"[3000, 3001, 3002, 3003, 3004, 3005]","The scorpion swayed its brownish claws and scurried up his arm, its feet tracking the faint dark telltales of veins. When it reached the inner elbow, it halted and seemed to vibrate. Riviera made a soft hissing sound. The sting came up, quivered, and sank into the skin above a bulging vein. The coral snake relaxed, and Riviera sighed slowly as the injection hit him. Then the snake and the scorpion were gone, and he held a milky plastic syringe in his left hand.",Method and apparatus for administering an injectable pharmaceutical,0.3161099
"[736, 737, 738, 739, 740, 741]","“Our profile says you’re trying to con the street into killing you when you’re not looking.” “Profile?” “We’ve built up a detailed model. Bought a go-to for each of your aliases and ran the skim through some military software. You’re suicidal, Case. The model gives you a month on the outside.",Systems and methods for detecting suicidality in a user of an augmented reality head-mounted display (AR-HMD),0.3137296
"[5797, 5798, 5799, 5800, 5801]","Listen, Colonel, okay? I want you to open the, ah… shit, what’s it called, Dix?” “The midbay lock,” the Flatline said. “Open the midbay lock. Just tell your central console there to open it, right?",Apparatus and method for controlling access to a secure area,0.3136894
"[3534, 3535, 3536, 3537, 3538, 3539, 3540]","Each time the image of Deane’s shattered head struck the rear wall of the office, Case was aware of another thought, something darker, hidden, that rolled away, diving like a fish, just beyond his reach. Linda. Deane. Blood on the wall of the importer’s office. Linda. Smell of burnt flesh in the shadows of the Chiba dome. Molly holding out a bag of ginger, the plastic filmed with blood.",Apparatus and method for removing blood from the wall of an implanter's office,0.31259543
"[1114, 1115, 1116, 1117, 1118]","Above the stage, a figure turned, knife held high, to the cheering crowd. The boy smiled and drew something from his sleeve. A razor, etched in red as a third beam blinked past them into the dark. Case saw the razor dipping for his throat like a dowser’s wand. The face was erased in a humming cloud of microscopic explosions.",Method and apparatus for removing tissue,0.30986923
"[2133, 2134, 2135]","Lot of cloning. Orbital law’s a lot softer on genetic engineering, right? And it’s hard to keep track of which generation, or combination of generations, is running the show at a given time.”",Method and apparatus for cloning organisms,0.3046754
"[1711, 1712, 1713, 1714, 1715, 1716, 1717, 1718]","Case gulped the last of his coffee, settled the trodes in place, and scratched his chest beneath his black t-shirt. He had only a vague idea of what the Panther Moderns planned as a diversion for the Sense/Net security people. His job was to make sure the intrusion program he’d written would link with the Sense/Net systems when Molly needed it to. He watched the countdown in the corner of the screen. Two. One. He jacked in and triggered his program. “Mainline,” breathed the link man, his voice the only sound as Case plunged through the glowing strata of Sense/Net ice.",Systems and methods for secure communications over a public switched telephone network (PSTN) or internet protocol (IP) network,0.2994305
"[4795, 4796, 4797, 4798, 4799, 4800, 4801, 4802, 4803, 4804]","Turing? “Came before?” Case climbed into the scooter’s frame and began to fasten the straps. “Japan yacht. Brought you package…” Armitage. Confused images of wasps and spiders rose in Case’s mind as they came in sight of Marcus Garvey. The little tug was snug against the gray thorax of a sleek, insectile ship five times her length. The arms of grapples stood out against Garvey’s patched hull with the strange clarity of vacuum and raw sunlight. A pale corrugated gangway curved out of the yacht, snaked sideways to avoid the tug’s engines, and covered the aft hatch. There was something obscene about the arrangement, but it had more to do with ideas of feeding than of sex.",Method and apparatus for transferring cargo from a tugboat to a yacht,0.29808605
"[1873, 1874]","The library’s central bank suffered a minute shift in its permanent memory: the construct had been removed, per executive order, a month before. Checking for the authorization to remove the construct, a librarian would find the records erased.",Systems and methods for detecting unauthorized deletion of genetic constructs from a library of genetically modified organisms (GMOs),0.29747516
"[2246, 2247, 2248, 2249, 2250, 2251, 2252, 2253, 2254, 2255, 2256, 2257, 2258]","“Know how a ROM personality matrix works?” “Sure, bro, it’s a firmware construct.” “So I jack it into the bank I’m using, I can give it sequential, real time memory?” “Guess so,” said the construct. “Okay, Dix. You are a ROM construct. Got me?” “If you say so,” said the construct. “Who are you?” “Case.” “Miami,” said the voice, “joeboy, quick study.” “Right. And for starts, Dix, you and me, we’re gonna sleaze over to London grid and access a little data.",Method and apparatus for securely storing and retrieving cryptographic keys in a non-volatile memory (NVM) of an integrated circuit (IC),0.2901328
"[4494, 4495, 4496, 4497, 4498, 4499]","Who’s Hideo?” “3Jane’s, what she calls it, retainer. Family retainer.” Case forced himself to stare dully at the Emergency crowd while he spoke. “Dee-Jane?” “Lady 3Jane.",Method and apparatus for identifying a user in an emergency situation,0.28990844
"[3774, 3775, 3776, 3777, 3778, 3779, 3780, 3781, 3782]","Every Al ever built has an electro-magnetic shotgun wired to its forehead.” Case glared at the pink spheres of Sikkim. “Okay,” he said, finally, “I’m slotting this virus. I want you to scan its instruction face and tell me what you think.” The half sense of someone reading over his shoulder was gone for a few seconds, then returned. “Hot shit, Case. It’s a slow virus. Take six hours, estimated, to crack a military target.” “Or an Al.”",Method and apparatus for detecting and responding to computer viruses,0.2880678
"[6095, 6096, 6097, 6098, 6099, 6100]","The Finn flicked his butt away into the matrix below. “Well, actually, I guess I did give 3Jane the odd hint, a little of the old how-to, you know?” “Wintermute,” Case said, choosing the words carefully, “you told me you were just a part of something else. Later on you said you wouldn’t exist, if the run goes off and Molly gets the word into the right slot.” The Finn’s streamlined skull nodded. “Okay, then who we gonna be dealing with then?",Cyberpunk 2077: art of the game,0.28785938
"[3689, 3690]","Maelcum kicked off and drifted past the pilot console, busying himself with a caulk gun. Case hastily looked away from the waving fronds of transparent caulk.",Method and apparatus for repairing a damaged hull of a spacecraft,0.28725553
"[7634, 7635, 7636]","I create my own personality. Personality is my medium.” Case took them up, a steep climb, away from the beach and the frightened girl.",Apparatus and method for creating a personalized avatar,0.2862162
"[1491, 1492, 1493, 1494, 1495, 1496, 1497, 1498, 1499]","“The matrix has its roots in primitive arcade games,” said the voice-over, “in early graphics programs and military experimentation with cranial jacks.” On the Sony, a two-dimensional space war faded behind a forest of mathematically generated ferns, demonstrating the spatial possibilities of logarithmic spirals—cold blue military footage burned through, lab animals wired into test systems, helmets feeding into fire control circuits of tanks and war planes. “Cyberspace. A consensual hallucination experienced daily by billions of legitimate operators, in every nation, by children being taught mathematical concepts… A graphic representation of data abstracted from the banks of every computer in the human system. Unthinkable complexity. Lines of light ranged in the non space of the mind, clusters and constellations of data. Like city lights, receding…” “What’s that?” Molly asked, as he flipped the channel selector. “Kid’s show.” A discontinuous flood of images as the selector cycled.",Method and apparatus for enhancing a user's immersion in a virtual reality environment,0.28415775
"[3251, 3252, 3253, 3254, 3255]","Case punched to within four grid points of the cube. Its blank face, towering above him now, began to seethe with faint internal shadows, as though a thousand dancers whirled behind a vast sheet of frosted glass. “Knows we’re here,” the Flatline observed. Case punched again, once; they jumped forward by a single grid point. A stippled gray circle formed on the face of the cube.",Method and apparatus for detecting an object in a field of view of a head-mounted display (HMD),0.2791971
"[3049, 3050]",Armitage walked to the opposite end of the projection. “This end does.”,Apparatus and method for projecting a three-dimensional (3D) object onto a two-dimensional (2D) surface,0.27687576
"[6832, 6833, 6834]","The Braun scuttled over mounded carpets and tapped one of its padded claws against an oversized rectangular door of dark battered wood. Behind them, the cart sizzled and shot blue sparks from a louvered panel. The sparks struck the carpet beneath the cart and Case smelled scorched wool.",Door to nowhere,0.27584735
"[3202, 3203, 3204, 3205, 3206]","And then I started picking up on this one cube, maybe three levels higher up. Jacked up there and made a pass.” “What did it look like, the visual?” “White cube.” “How’d you know it was an Al?”",Apparatus and method for detecting and locating aluminum cans in a trash receptacle,0.273462
"[6146, 6147, 6148]","“Case,” she said, “I wanna favor.” Stiffly, she lowered herself to sit on a stack of polished steel plates, the finish of each plate protected by an uneven coating of clear plastic. She picked at a rip in the plastic on the topmost plate, blades sliding from beneath thumb and forefinger.",Apparatus and method for storing and dispensing cutlery,0.27146617
